param n := 100;
param c := 150;
param w := 
1 149
2 148
3 146
4 146
5 142
6 141
7 136
8 136
9 134
10 133
11 133
12 133
13 131
14 131
15 131
16 129
17 129
18 128
19 127
20 125
21 125
22 124
23 123
24 119
25 116
26 113
27 110
28 109
29 107
30 107
31 105
32 102
33 101
34 99
35 99
36 98
37 98
38 94
39 91
40 86
41 86
42 85
43 83
44 80
45 79
46 78
47 78
48 77
49 77
50 77
51 74
52 72
53 70
54 70
55 67
56 65
57 62
58 61
59 60
60 58
61 56
62 54
63 49
64 48
65 45
66 44
67 42
68 42
69 41
70 39
71 38
72 35
73 35
74 33
75 32
76 28
77 25
78 24
79 24
80 21
81 18
82 16
83 16
84 16
85 15
86 14
87 13
88 13
89 12
90 11
91 10
92 9
93 8
94 6
95 5
96 4
97 3
98 2
99 1
100 0
;
