param n := 75;
param c := 150;
param w := 
1 149
2 147
3 144
4 141
5 137
6 135
7 135
8 132
9 132
10 129
11 128
12 127
13 123
14 122
15 121
16 120
17 120
18 119
19 118
20 115
21 114
22 108
23 106
24 103
25 102
26 96
27 92
28 92
29 91
30 89
31 78
32 77
33 77
34 77
35 76
36 75
37 68
38 68
39 68
40 67
41 64
42 64
43 62
44 60
45 59
46 58
47 55
48 52
49 51
50 49
51 49
52 47
53 43
54 41
55 37
56 37
57 36
58 35
59 34
60 30
61 29
62 29
63 28
64 27
65 27
66 23
67 23
68 21
69 18
70 18
71 14
72 13
73 12
74 11
75 8
;
