param n := 75;
param c := 150;
param w := 
1 148
2 145
3 144
4 143
5 140
6 137
7 136
8 129
9 128
10 126
11 122
12 120
13 118
14 113
15 109
16 109
17 108
18 107
19 106
20 104
21 104
22 102
23 99
24 95
25 90
26 88
27 88
28 86
29 84
30 83
31 83
32 83
33 80
34 78
35 77
36 77
37 76
38 74
39 74
40 73
41 71
42 68
43 68
44 64
45 61
46 58
47 54
48 53
49 53
50 51
51 49
52 49
53 48
54 47
55 45
56 45
57 43
58 43
59 42
60 40
61 35
62 33
63 33
64 32
65 31
66 30
67 29
68 23
69 23
70 20
71 18
72 16
73 15
74 10
75 3
;
