param n := 75;
param c := 150;
param w := 
1 144
2 142
3 141
4 140
5 139
6 135
7 135
8 133
9 131
10 129
11 128
12 125
13 125
14 120
15 117
16 116
17 115
18 114
19 109
20 108
21 106
22 105
23 104
24 104
25 94
26 94
27 93
28 92
29 91
30 90
31 90
32 89
33 86
34 81
35 77
36 75
37 73
38 72
39 69
40 61
41 60
42 56
43 55
44 55
45 53
46 47
47 47
48 46
49 45
50 40
51 40
52 40
53 39
54 36
55 36
56 36
57 35
58 35
59 31
60 31
61 30
62 29
63 29
64 28
65 26
66 24
67 23
68 23
69 20
70 16
71 14
72 12
73 11
74 8
75 1
;
