param n := 100;
param c := 150;
param w := 
1 150
2 149
3 149
4 147
5 145
6 145
7 144
8 143
9 140
10 137
11 136
12 135
13 135
14 135
15 132
16 129
17 128
18 127
19 126
20 123
21 123
22 121
23 120
24 120
25 120
26 120
27 119
28 117
29 115
30 111
31 108
32 105
33 103
34 102
35 99
36 99
37 95
38 95
39 93
40 91
41 91
42 91
43 90
44 89
45 89
46 89
47 79
48 77
49 77
50 77
51 76
52 74
53 74
54 73
55 71
56 69
57 69
58 67
59 63
60 58
61 58
62 54
63 52
64 52
65 50
66 50
67 49
68 48
69 46
70 46
71 43
72 37
73 36
74 36
75 35
76 35
77 33
78 32
79 29
80 29
81 29
82 28
83 27
84 25
85 23
86 23
87 20
88 18
89 18
90 14
91 13
92 12
93 10
94 7
95 6
96 5
97 4
98 3
99 3
100 0
;
