param n := 75;
param c := 150;
param w := 
1 147
2 147
3 143
4 139
5 136
6 133
7 132
8 132
9 129
10 120
11 120
12 119
13 117
14 114
15 113
16 113
17 112
18 112
19 111
20 111
21 109
22 108
23 107
24 105
25 104
26 98
27 93
28 92
29 90
30 90
31 87
32 85
33 83
34 83
35 78
36 71
37 70
38 65
39 65
40 63
41 62
42 61
43 57
44 55
45 53
46 53
47 51
48 51
49 50
50 46
51 45
52 43
53 34
54 34
55 33
56 33
57 31
58 29
59 26
60 24
61 23
62 17
63 16
64 14
65 14
66 14
67 13
68 12
69 9
70 7
71 5
72 3
73 3
74 1
75 1
;
