param n := 75;
param c := 150;
param w := 
1 150
2 148
3 145
4 145
5 143
6 138
7 137
8 136
9 135
10 131
11 130
12 128
13 128
14 127
15 126
16 125
17 125
18 121
19 120
20 118
21 118
22 118
23 117
24 116
25 115
26 112
27 109
28 108
29 108
30 104
31 104
32 103
33 103
34 98
35 94
36 92
37 90
38 87
39 87
40 86
41 85
42 83
43 83
44 82
45 80
46 79
47 79
48 79
49 78
50 71
51 69
52 68
53 67
54 59
55 57
56 56
57 53
58 52
59 51
60 49
61 46
62 43
63 43
64 42
65 41
66 37
67 36
68 31
69 27
70 22
71 17
72 15
73 13
74 12
75 11
;
